"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","Depth_1_cm","Depth_2_cm","Depth_3_cm","Depth_4_cm","Average_Depth_cm","real_depth_cm","soil_bulk_density_g_cm3","volumetric_water_content_cm3_cm3","soil_material","label","date_simple","data"
"95","20210724-W-T12_O2","20210724-W-T12","24-Jul-21","non-acidic tundra","Transect","T12","W-T12","O2","10","10","9.5","11","10.1","20.2","not analyzed","not analyzed","organic","Plot-3-T12","Plot-3","not analyzed"
"96","20210724-W-T13_O","20210724-W-T13","24-Jul-21","non-acidic tundra","Transect","T13","W-T13","O","15","12.5","13","14","13.6","13.6","not analyzed","not analyzed","organic","Plot-3-T13","Plot-3","not analyzed"
"97","20210724-E-T1_O1","20210724-E-T1","24-Jul-21","acidic tundra","Transect","T1","E-T1","O1","8.5","9","9.5","11","9.5","9.5","not analyzed","not analyzed","organic","Plot-3-T1","Plot-3","not analyzed"
"98","20210724-E-T1_O2","20210724-E-T1","24-Jul-21","acidic tundra","Transect","T1","E-T1","O2","12","13","12","14.5","12.9","22.4","not analyzed","not analyzed","organic","Plot-3-T1","Plot-3","not analyzed"
"99","20210724-E-T2_O1","20210724-E-T2","24-Jul-21","acidic tundra","Transect","T2","E-T2","O1","8","7.5","10","8","8.4","8.4","not analyzed","not analyzed","organic","Plot-3-T2","Plot-3","not analyzed"
"100","20210724-E-T2_O2","20210724-E-T2","24-Jul-21","acidic tundra","Transect","T2","E-T2","O2","13","13.5","13","13","13.1","21.5","not analyzed","not analyzed","organic","Plot-3-T2","Plot-3","not analyzed"
"101","20210724-E-T3_O1","20210724-E-T3","24-Jul-21","acidic tundra","Transect","T3","E-T3","O1","7.5","6.5","8.5","5.5","7","7","not analyzed","not analyzed","organic","Plot-3-T3","Plot-3","not analyzed"
"102","20210724-E-T3_O2","20210724-E-T3","24-Jul-21","acidic tundra","Transect","T3","E-T3","O2","12","9","9","9.5","9.9","16.9","not analyzed","not analyzed","organic","Plot-3-T3","Plot-3","not analyzed"
"103","20210724-E-T4_O1","20210724-E-T4","24-Jul-21","acidic tundra","Transect","T4","E-T4","O1","10","9","9","9","9.3","9.3","not analyzed","not analyzed","organic","Plot-3-T4","Plot-3","not analyzed"
"104","20210724-E-T4_O2","20210724-E-T4","24-Jul-21","acidic tundra","Transect","T4","E-T4","O2","2.5","4.5","4.5","3.5","3.8","13.1","not analyzed","not analyzed","organic","Plot-3-T4","Plot-3","not analyzed"
"105","20210724-E-T5_O1","20210724-E-T5","24-Jul-21","acidic tundra","Transect","T5","E-T5","O1","7.5","10","9.5","9.5","9.1","9.1","not analyzed","not analyzed","organic","Plot-3-T5","Plot-3","not analyzed"
"106","20210724-E-T5_O2","20210724-E-T5","24-Jul-21","acidic tundra","Transect","T5","E-T5","O2","6","7","7.5","7.5","7","16.1","not analyzed","not analyzed","organic","Plot-3-T5","Plot-3","not analyzed"
"107","20210724-E-T5_M","20210724-E-T5","24-Jul-21","acidic tundra","Transect","T5","E-T5","M","5","4.5","6","7","5.6","21.7","not analyzed","not analyzed","mineral","Plot-3-T5","Plot-3","not analyzed"
"108","20210724-E-T6_O","20210724-E-T6","24-Jul-21","acidic tundra","Transect","T6","E-T6","O","8.5","8.5","8.5","8","8.4","8.4","not analyzed","not analyzed","organic","Plot-3-T6","Plot-3","not analyzed"
"109","20210724-E-T6_M","20210724-E-T6","24-Jul-21","acidic tundra","Transect","T6","E-T6","M","9.5","10","9.5","8","9.3","17.7","not analyzed","not analyzed","mineral","Plot-3-T6","Plot-3","not analyzed"
"110","20210724-E-T7_O","20210724-E-T7","24-Jul-21","acidic tundra","Transect","T7","E-T7","O","2.5","2.5","2","2","2.3","2.3","not analyzed","not analyzed","organic","Plot-3-T7","Plot-3","not analyzed"
"111","20210724-E-T7_M","20210724-E-T7","24-Jul-21","acidic tundra","Transect","T7","E-T7","M","12.5","11","11","9.5","11","13.3","not analyzed","not analyzed","mineral","Plot-3-T7","Plot-3","not analyzed"
"112","20210724-E-T8_O1","20210724-E-T8","24-Jul-21","acidic tundra","Transect","T8","E-T8","O1","11.5","10","11","10","10.6","10.6","not analyzed","not analyzed","organic","Plot-3-T8","Plot-3","not analyzed"
"113","20210724-E-T8_O2","20210724-E-T8","24-Jul-21","acidic tundra","Transect","T8","E-T8","O2","5.5","5.5","5","5","5.3","15.9","not analyzed","not analyzed","organic","Plot-3-T8","Plot-3","not analyzed"
"114","20210724-E-T9_O","20210724-E-T9","24-Jul-21","acidic tundra","Transect","T9","E-T9","O","8","7.5","8.5","8.5","8.1","8.1","not analyzed","not analyzed","organic","Plot-3-T9","Plot-3","not analyzed"
"115","20210724-E-T9_M","20210724-E-T9","24-Jul-21","acidic tundra","Transect","T9","E-T9","M","11","11","11","12","11.3","19.4","not analyzed","not analyzed","mineral","Plot-3-T9","Plot-3","not analyzed"
"116","20210724-E-T10_O1","20210724-E-T10","24-Jul-21","acidic tundra","Transect","T10","E-T10","O1","6.5","8","8","6.5","7.3","7.3","not analyzed","not analyzed","organic","Plot-3-T10","Plot-3","not analyzed"
"117","20210724-E-T10_O2","20210724-E-T10","24-Jul-21","acidic tundra","Transect","T10","E-T10","O2","10.5","9.5","9","8.5","9.4","16.7","not analyzed","not analyzed","organic","Plot-3-T10","Plot-3","not analyzed"
"118","20210724-E-T11_O1","20210724-E-T11","24-Jul-21","acidic tundra","Transect","T11","E-T11","O1","7","8.5","6","6","6.9","6.9","not analyzed","not analyzed","organic","Plot-3-T11","Plot-3","not analyzed"
"119","20210724-E-T11_O2","20210724-E-T11","24-Jul-21","acidic tundra","Transect","T11","E-T11","O2","6","5.5","6.5","7.5","6.4","13.3","not analyzed","not analyzed","organic","Plot-3-T11","Plot-3","not analyzed"
