sampleID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_cm,soil_bulk_density_g_cm3,volumetric_water_content_cm3_cm3,soil_material,label,driedsample_readyforshipping
20210730-E-M1_M,20210730-E-M1,30-Jul-21,acidic tundra,Mesic,1,E-M1,M,11.5,12.5,12,10.5,11.6,20,NA,NA,mineral,M,yes
20210730-E-M2_O1,20210730-E-M2,30-Jul-21,acidic tundra,Mesic,2,E-M2,O1,12,12,11.5,12,11.9,11.9,NA,NA,organic,O1,NA
20210730-E-M2_O2,20210730-E-M2,30-Jul-21,acidic tundra,Mesic,2,E-M2,O2,4.5,4,4,2.5,3.8,15.7,NA,NA,organic,O2,NA
20210730-E-M2_M,20210730-E-M2,30-Jul-21,acidic tundra,Mesic,2,E-M2,M,8.5,7,7.5,8.5,7.9,23.6,NA,NA,mineral,M,NA
20210730-E-M3_O1,20210730-E-M3,30-Jul-21,acidic tundra,Mesic,3,E-M3,O1,11.5,13.5,12,11,12,12,NA,NA,organic,O1,NA
20210730-E-M3_O2,20210730-E-M3,30-Jul-21,acidic tundra,Mesic,3,E-M3,O2,7,5.5,6,7.5,6.5,18.5,NA,NA,organic,O2,NA
20210730-E-H1_O1,20210730-E-H1,30-Jul-21,acidic tundra,Hydric,1,E-H1,O1,14.5,15,14,13.5,14.3,14.3,NA,NA,organic,O1,NA
20210730-E-H1_O2,20210730-E-H1,30-Jul-21,acidic tundra,Hydric,1,E-H1,O2,3.5,4,4.5,4.5,4.1,18.4,NA,NA,organic,O2,NA
20210730-E-H2_O1,20210730-E-H2,30-Jul-21,acidic tundra,Hydric,2,E-H2,O1,11,11.5,11.5,10,11,11,NA,NA,organic,O1,NA
20210730-E-H2_O2,20210730-E-H2,30-Jul-21,acidic tundra,Hydric,2,E-H2,O2,9,11.5,12,11,10.9,21.9,NA,NA,organic,O2,NA
20210730-E-H3_O1,20210730-E-H3,30-Jul-21,acidic tundra,Hydric,3,E-H3,O1,5,6.5,6,6.5,6,6,NA,NA,organic,O1,NA
20210730-E-H3_O2,20210730-E-H3,30-Jul-21,acidic tundra,Hydric,3,E-H3,O2,5,5,5.5,4.5,5,11,NA,NA,organic,O2,NA
20210730-E-H3_M,20210730-E-H3,30-Jul-21,acidic tundra,Hydric,3,E-H3,M,4.5,5.5,6,6,5.5,16.5,NA,NA,mineral,M,NA
20210731-W-D1_O1,20210731-W-D1,31-Jul-21,non-acidic tundra,Dry,1,W-D1,O1,8,9,8,7.5,8.1,8.1,NA,NA,organic,O1,NA
20210731-W-D1_O2,20210731-W-D1,31-Jul-21,non-acidic tundra,Dry,1,W-D1,O2,14,13,14.5,13.5,13.8,21.9,NA,NA,organic,O2,NA
20210731-W-D2_O1,20210731-W-D2,31-Jul-21,non-acidic tundra,Dry,2,W-D2,O1,8.5,8.5,9,9,8.8,8.8,NA,NA,organic,O1,NA
20210731-W-D2_O2,20210731-W-D2,31-Jul-21,non-acidic tundra,Dry,2,W-D2,O2,12,12,12.5,12.5,12.3,21.1,NA,NA,organic,O2,NA
20210731-W-D3_O1,20210731-W-D3,31-Jul-21,non-acidic tundra,Dry,3,W-D3,O1,8.5,8.5,9,7.5,8.4,8.4,0.07,0.3052,organic,O1,yes
20210731-W-D3_O2,20210731-W-D3,31-Jul-21,non-acidic tundra,Dry,3,W-D3,O2,13,13.5,15,13.5,13.8,22.2,0.38,0.6346,organic,O2,yes
20210731-W-M1_O1,20210731-W-M1,31-Jul-21,non-acidic tundra,Mesic,1,W-M1,O1,5,5.5,5,5,5.1,5.1,NA,NA,organic,O1,NA
